Date : 2026-03-28 14:14:27
Directory : c:\GLAVPROJECTS\amazon-dip\frontend
Total : 121 files,  9049 codes, 219 comments, 682 blanks, all 9950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\Header.tsx                                          | TypeScript JSX     |         37 |          0 |          1 |         38 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\Logo.tsx                                            | TypeScript JSX     |          6 |          2 |          1 |          9 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\SocialLinks.tsx                                     | TypeScript JSX     |         19 |          2 |          2 |         23 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\auth\auth.helper.ts                                        | TypeScript         |          6 |          0 |          1 |          7 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\context\Providers.tsx                                      | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\context\Providers\BasketProvider.tsx                       | TypeScript JSX     |         40 |          1 |         12 |         53 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\main.tsx                                                   | TypeScript JSX     |         14 |          1 |          2 |         17 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\LoginSellerAccount\LoginSellerAccount.tsx       | TypeScript JSX     |        104 |          0 |         11 |        115 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\LoginSellerAccount\index.ts                     | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Login\Login.tsx                                 | TypeScript JSX     |         71 |          7 |         10 |         88 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Login\index.ts                                  | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\PasswordReset\PasswordReset.tsx                 | TypeScript JSX     |          6 |          2 |          2 |         10 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\PasswordReset\index.ts                          | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\RegisterSellerAccount\RegisterSellerAccount.tsx | TypeScript JSX     |        154 |          0 |         12 |        166 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\RegisterSellerAccount\index.ts                  | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Register\Register.tsx                           | TypeScript JSX     |         87 |          8 |         13 |        108 |
