"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "SCSS", "HTML", "Markdown", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoProductCard\YommingoProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 15, 136
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoProductCard\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoSearch\YommingoSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoSearch\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\abstracts\_mixins.scss", "SCSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 9, 54
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\abstracts\_variables.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 8, 5, 27
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\base\_global.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\base\_normalise.scss", "SCSS", 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 1, 52
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\CardItem.scss", "SCSS", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 11, 71
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\CardList.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\CatalogSlider.scss", "SCSS", 0, 0, 0, 0, 62, 0, 0, 0, 0, 2, 11, 75
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\Footermv.scss", "SCSS", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 23, 142
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\Header.scss", "SCSS", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 14, 82
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\buttons.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 2, 19
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\divider.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 4, 29
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\logo.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 2, 12
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\social.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 2, 16
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\master.scss", "SCSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 16, 6, 50
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\auth.scss", "SCSS", 0, 0, 0, 0, 64, 0, 0, 0, 0, 11, 13, 88
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\logSellerAccount.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\login.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 2, 14
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\regSellerAccount.scss", "SCSS", 0, 0, 0, 0, 150, 0, 0, 0, 0, 6, 19, 175
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\register.scss", "SCSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 4, 31
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\reset.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 6, 42
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\resetSellerAccount.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\welcome.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 2, 20
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\user\SellerAccount.scss", "SCSS", 0, 0, 0, 0, 256, 0, 0, 0, 0, 18, 19, 293
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\user\SellerAddProduct.scss", "SCSS", 0, 0, 0, 0, 235, 0, 0, 0, 0, 12, 23, 270
"c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\user\UserProfile.scss", "SCSS", 0, 0, 0, 0, 139, 0, 0, 0, 0, 16, 14, 169
